MotorPowerkW,MotorSpeed,PumpRate,TimePumpOn,CasingFriction
70.0,200,60.6,0.0,1448.17
70.13,200,58.6,3.2,1450.12
70.26,200,59.8,6.4,1452.02
70.38,201,58.9,9.6,1455.25
70.51,201,58.6,12.8,1450.71
70.63,201,60.3,16.0,1453.6
70.76,201,59.9,19.2,1450.0
70.88,201,57.8,22.4,1449.3
70.99,201,59.2,25.6,1447.59
71.11,202,58.7,28.8,1450.91
71.22,202,58.4,32.0,1448.32
71.33,202,59.9,35.2,1449.58
71.43,202,60.1,38.4,1447.59
71.54,202,60.7,41.6,1451.66
71.63,202,58.5,44.8,1447.19
71.72,202,58.7,48.0,1452.07
71.81,202,61.7,51.2,1452.83
71.89,203,57.6,54.4,1450.26
71.97,203,56.7,57.6,1451.42
72.04,203,59.5,60.8,1448.3
72.1,203,55.6,64.0,1450.65
72.16,203,58.1,67.2,1448.41
72.21,203,58.2,70.4,1451.12
72.26,203,59.7,73.6,1451.88
72.3,203,62.0,76.8,1449.91
72.33,203,60.6,80.0,1450.66
72.36,203,62.1,83.2,1450.12
72.38,203,58.4,86.4,1447.4
72.39,203,59.7,89.6,1447.48
72.4,203,59.1,92.8,1450.88
72.4,203,60.3,96.0,1447.25
72.39,203,61.0,99.2,1454.48
72.38,203,61.3,102.4,1447.73
72.36,203,58.4,105.6,1449.5
72.33,203,60.3,108.8,1448.83
72.29,203,59.9,112.0,1450.47
72.25,203,57.6,115.2,1450.97
72.21,203,58.9,118.4,1448.93
72.15,203,62.6,121.6,1450.22
72.09,203,60.3,124.8,1448.13
72.03,203,60.4,128.0,1448.74
71.95,203,58.1,131.2,1450.92
71.88,203,61.1,134.4,1451.17
71.8,202,57.7,137.6,1448.2
71.71,202,58.3,140.8,1451.0
71.62,202,62.4,144.0,1452.85
71.52,202,59.4,147.2,1451.63
71.42,202,60.6,150.4,1449.59
71.31,202,61.2,153.6,1450.84
71.2,202,59.6,156.8,1447.32
71.09,201,60.1,160.0,1448.36
70.97,201,58.9,163.2,1450.98
70.86,201,61.4,166.4,1449.01
70.73,201,61.5,169.6,1450.9
70.61,201,61.6,172.8,1448.68
70.49,201,62.9,176.0,1446.55
70.36,200,57.6,179.2,1448.7
70.23,200,57.1,182.4,1453.53
70.11,200,60.4,185.6,1448.31
69.98,200,63.1,188.8,1449.26
69.85,200,61.1,192.0,1450.24
69.72,200,58.6,195.2,1449.98
69.59,199,60.3,198.4,1447.54
69.47,199,57.9,201.6,1452.18
69.34,199,61.7,204.8,1448.01
69.22,199,59.0,208.0,1448.51
69.1,199,60.6,211.2,1451.81
68.98,199,61.7,214.4,1450.14
68.87,198,60.7,217.6,1448.99
68.76,198,59.6,220.8,1449.96
68.65,198,59.6,224.0,1450.79
68.55,198,61.7,227.2,1449.54
68.45,198,60.0,230.4,1450.86
68.35,198,60.3,233.6,1449.9
68.26,198,61.9,236.8,1450.78
68.18,198,63.7,240.0,1453.52
68.09,197,61.8,243.2,1448.86
68.02,197,58.3,246.4,1449.7
67.95,197,59.2,249.6,1448.7
67.89,197,61.2,252.8,1450.37
67.83,197,58.9,256.0,1450.61
67.78,197,56.7,259.2,1450.85
67.73,197,60.9,262.4,1451.08
67.69,197,58.8,265.6,1450.77
67.66,197,58.3,268.8,1451.43
67.64,197,57.9,272.0,1451.98
67.62,197,59.8,275.2,1455.59
67.61,197,61.6,278.4,1451.05
67.6,197,61.3,281.6,1451.92
67.6,197,59.1,284.8,1446.94
67.61,197,62.4,288.0,1447.79
67.63,197,60.6,291.2,1449.99
67.65,197,59.9,294.4,1452.87
67.68,197,60.4,297.6,1449.08
67.71,197,59.6,300.8,1449.0
67.75,197,63.0,304.0,1449.66
67.8,197,58.7,307.2,1449.36
67.86,197,61.0,310.4,1446.96
67.92,197,61.8,313.6,1446.45
67.99,197,61.9,316.8,1451.5
68.06,197,62.0,320.0,1451.34
