MotorPowerkW,MotorSpeed,PumpRate,TimePumpOn,CasingFriction
70.0,200,63.8,0.0,1449.63
70.13,200,60.5,3.2,1452.35
70.26,200,57.7,6.4,1449.07
70.38,201,57.8,9.6,1450.2
70.51,201,58.1,12.8,1449.81
70.63,201,62.2,16.0,1451.22
70.76,201,59.5,19.2,1451.47
70.88,201,62.5,22.4,1452.67
70.99,201,61.9,25.6,1449.26
71.11,202,61.1,28.8,1449.61
71.22,202,59.4,32.0,1448.77
71.33,202,62.3,35.2,1450.59
71.43,202,60.2,38.4,1447.96
71.54,202,60.6,41.6,1452.47
71.63,202,59.7,44.8,1447.95
71.72,202,58.3,48.0,1450.14
71.81,202,57.3,51.2,1449.79
71.89,203,60.4,54.4,1449.85
71.97,203,59.4,57.6,1448.61
72.04,203,60.3,60.8,1448.32
72.1,203,60.1,64.0,1453.39
72.16,203,60.3,67.2,1453.92
72.21,203,60.4,70.4,1453.59
72.26,203,59.7,73.6,1452.33
72.3,203,58.5,76.8,1451.8
72.33,203,57.7,80.0,1451.0
72.36,203,60.0,83.2,1450.32
72.38,203,59.2,86.4,1448.42
72.39,203,61.1,89.6,1447.51
72.4,203,59.3,92.8,1450.51
72.4,203,59.9,96.0,1448.16
72.39,203,62.0,99.2,1445.66
72.38,203,61.0,102.4,1448.78
72.36,203,57.6,105.6,1450.35
72.33,203,57.7,108.8,1451.02
72.29,203,61.5,112.0,1450.03
72.25,203,60.4,115.2,1451.19
72.21,203,59.4,118.4,1451.76
72.15,203,58.4,121.6,1448.46
72.09,203,58.0,124.8,1448.66
72.03,203,60.8,128.0,1451.52
71.95,203,57.9,131.2,1450.5
71.88,203,60.1,134.4,1449.68
71.8,202,57.3,137.6,1450.6
71.71,202,62.6,140.8,1450.96
71.62,202,59.9,144.0,1451.4
71.52,202,59.9,147.2,1448.91
71.42,202,61.4,150.4,1448.18
71.31,202,60.5,153.6,1449.71
71.2,202,62.8,156.8,1448.76
71.09,201,59.8,160.0,1448.87
70.97,201,59.0,163.2,1450.61
70.86,201,59.7,166.4,1448.02
70.73,201,60.0,169.6,1449.46
70.61,201,61.7,172.8,1451.42
70.49,201,60.3,176.0,1451.85
70.36,200,59.5,179.2,1451.88
70.23,200,59.2,182.4,1450.24
70.11,200,58.1,185.6,1452.18
69.98,200,61.1,188.8,1448.26
69.85,200,59.2,192.0,1451.82
69.72,200,60.4,195.2,1450.08
69.59,199,62.3,198.4,1452.88
69.47,199,62.0,201.6,1453.55
69.34,199,57.8,204.8,1454.98
69.22,199,59.6,208.0,1446.0
69.1,199,60.7,211.2,1447.09
68.98,199,58.7,214.4,1451.11
68.87,198,60.4,217.6,1447.7
68.76,198,59.9,220.8,1447.94
68.65,198,58.1,224.0,1454.65
68.55,198,62.2,227.2,1450.53
68.45,198,60.5,230.4,1451.44
68.35,198,59.0,233.6,1449.02
68.26,198,60.1,236.8,1451.91
68.18,198,59.7,240.0,1450.77
68.09,197,60.1,243.2,1449.4
68.02,197,61.0,246.4,1450.4
67.95,197,61.1,249.6,1450.13
67.89,197,61.2,252.8,1446.99
67.83,197,56.3,256.0,1448.34
67.78,197,61.2,259.2,1447.48
67.73,197,59.3,262.4,1448.99
67.69,197,61.1,265.6,1450.43
67.66,197,61.0,268.8,1453.69
67.64,197,58.9,272.0,1452.5
67.62,197,61.1,275.2,1451.47
67.61,197,62.5,278.4,1451.55
67.6,197,59.8,281.6,1449.3
67.6,197,60.4,284.8,1448.22
67.61,197,60.3,288.0,1449.08
67.63,197,61.4,291.2,1451.63
67.65,197,61.4,294.4,1451.34
67.68,197,61.5,297.6,1451.46
67.71,197,59.0,300.8,1448.48
67.75,197,60.4,304.0,1450.56
67.8,197,59.7,307.2,1451.21
67.86,197,59.8,310.4,1452.51
67.92,197,60.1,313.6,1451.2
67.99,197,57.6,316.8,1450.27
68.06,197,62.1,320.0,1452.94
68.14,197,58.8,323.2,1451.18
68.22,198,61.5,326.4,1448.76
68.31,198,61.8,329.6,1448.8
68.4,198,60.6,332.8,1449.65
68.5,198,57.5,336.0,1448.63
68.6,198,58.5,339.2,1450.09
68.71,198,59.9,342.4,1454.02
68.82,198,59.5,345.6,1446.75
68.93,199,61.6,348.8,1450.91
69.05,199,62.6,352.0,1451.02
69.17,199,60.1,355.2,1450.46
69.29,199,60.6,358.4,1448.41
69.41,199,59.2,361.6,1447.91
69.54,199,57.9,364.8,1452.19
69.66,200,62.9,368.0,1449.98
69.79,200,62.5,371.2,1448.41
69.92,200,60.7,374.4,1451.55
70.05,200,58.5,377.6,1448.78
70.17,200,62.0,380.8,1450.74
70.3,200,58.1,384.0,1452.34
70.43,201,57.8,387.2,1447.9
70.55,201,60.2,390.4,1446.93
70.68,201,59.0,393.6,1449.77
70.8,201,61.7,396.8,1450.96
70.92,201,61.8,400.0,1449.91
71.04,201,58.8,403.2,1447.92
71.15,202,57.9,406.4,1450.95
71.26,202,61.0,409.6,1450.24
71.37,202,58.3,412.8,1452.02
71.47,202,60.8,416.0,1449.59
71.57,202,61.3,419.2,1452.2
71.66,202,61.4,422.4,1449.43
71.75,202,62.9,425.6,1448.81
71.84,202,61.8,428.8,1447.91
71.92,203,61.1,432.0,1454.66
71.99,203,59.8,435.2,1452.75
72.06,203,63.9,438.4,1448.69
72.12,203,59.8,441.6,1450.21
72.18,203,60.2,444.8,1452.01
72.23,203,60.4,448.0,1447.12
72.28,203,58.6,451.2,1450.9
72.31,203,60.4,454.4,1448.25
72.34,203,58.8,457.6,1450.09
72.37,203,58.4,460.8,1451.37
72.39,203,58.0,464.0,1447.47
72.4,203,59.4,467.2,1447.63
72.4,203,58.0,470.4,1449.94
72.4,203,60.2,473.6,1450.13
72.39,203,59.6,476.8,1448.88
72.37,203,60.4,480.0,1450.84
72.35,203,57.1,483.2,1451.6
72.32,203,59.0,486.4,1448.42
72.28,203,60.6,489.6,1447.54
72.24,203,60.4,492.8,1452.41
72.19,203,60.4,496.0,1448.01
72.13,203,58.8,499.2,1449.27
72.07,203,60.7,502.4,1451.49
72.0,203,56.5,505.6,1451.37
71.93,203,61.6,508.8,1448.54
71.85,203,58.1,512.0,1449.4
71.76,202,63.2,515.2,1449.33
71.68,202,59.0,518.4,1447.11
71.58,202,57.5,521.6,1450.92
71.48,202,60.4,524.8,1452.24
71.38,202,60.2,528.0,1449.24
