MotorPowerkW,MotorSpeed,PumpRate,TimePumpOn,CasingFriction
70.0,200,59.6,0.0,1450.48
70.13,200,59.9,3.2,1447.64
70.26,200,59.2,6.4,1452.42
70.38,201,58.9,9.6,1449.52
70.51,201,58.7,12.8,1454.36
70.63,201,61.9,16.0,1450.09
70.76,201,59.8,19.2,1452.44
70.88,201,60.0,22.4,1448.15
70.99,201,60.8,25.6,1449.1
71.11,202,62.1,28.8,1451.62
71.22,202,59.3,32.0,1453.44
71.33,202,59.5,35.2,1447.26
71.43,202,61.1,38.4,1449.06
71.54,202,58.0,41.6,1448.09
71.63,202,60.1,44.8,1450.36
71.72,202,61.3,48.0,1452.48
71.81,202,60.7,51.2,1449.45
71.89,203,59.9,54.4,1449.53
71.97,203,59.8,57.6,1454.32
72.04,203,57.8,60.8,1452.26
72.1,203,59.3,64.0,1447.48
72.16,203,57.3,67.2,1451.12
72.21,203,62.2,70.4,1450.68
72.26,203,56.3,73.6,1448.18
72.3,203,59.3,76.8,1447.85
72.33,203,60.2,80.0,1449.81
72.36,203,61.0,83.2,1450.8
72.38,203,60.4,86.4,1449.13
72.39,203,59.9,89.6,1450.16
72.4,203,58.7,92.8,1451.02
72.4,203,58.0,96.0,1451.77
72.39,203,60.7,99.2,1451.99
72.38,203,62.8,102.4,1448.5
72.36,203,58.4,105.6,1450.94
72.33,203,60.5,108.8,1453.33
72.29,203,59.0,112.0,1448.96
72.25,203,59.5,115.2,1449.96
72.21,203,60.2,118.4,1450.64
72.15,203,60.9,121.6,1453.2
72.09,203,60.9,124.8,1453.02
72.03,203,59.9,128.0,1448.04
71.95,203,59.2,131.2,1446.5
71.88,203,59.9,134.4,1451.32
71.8,202,58.2,137.6,1447.38
71.71,202,62.7,140.8,1448.34
71.62,202,59.7,144.0,1451.11
71.52,202,62.1,147.2,1445.82
71.42,202,59.5,150.4,1448.62
71.31,202,62.5,153.6,1448.82
71.2,202,59.0,156.8,1447.84
71.09,201,57.8,160.0,1446.53
70.97,201,62.2,163.2,1452.55
70.86,201,58.7,166.4,1449.19
70.73,201,59.4,169.6,1449.86
70.61,201,58.7,172.8,1450.88
70.49,201,58.5,176.0,1449.31
70.36,200,58.1,179.2,1447.93
70.23,200,59.6,182.4,1453.34
70.11,200,60.5,185.6,1449.14
69.98,200,58.9,188.8,1450.59
69.85,200,60.2,192.0,1450.84
69.72,200,60.3,195.2,1450.82
69.59,199,60.9,198.4,1450.01
69.47,199,57.8,201.6,1449.65
69.34,199,57.0,204.8,1450.92
69.22,199,59.7,208.0,1448.34
69.1,199,57.5,211.2,1451.55
68.98,199,59.0,214.4,1449.49
68.87,198,61.4,217.6,1451.16
68.76,198,61.6,220.8,1452.43
68.65,198,56.8,224.0,1451.15
68.55,198,57.8,227.2,1448.56
68.45,198,59.8,230.4,1446.72
68.35,198,62.1,233.6,1448.41
68.26,198,59.1,236.8,1450.61
68.18,198,59.0,240.0,1446.03
68.09,197,61.6,243.2,1445.64
68.02,197,58.5,246.4,1450.71
67.95,197,58.6,249.6,1446.68
67.89,197,61.5,252.8,1449.16
67.83,197,61.8,256.0,1448.48
67.78,197,59.9,259.2,1448.79
67.73,197,60.0,262.4,1450.92
67.69,197,58.0,265.6,1447.29
67.66,197,61.7,268.8,1450.15
67.64,197,60.0,272.0,1451.07
67.62,197,58.9,275.2,1448.81
67.61,197,59.6,278.4,1446.21
67.6,197,59.5,281.6,1447.63
67.6,197,62.1,284.8,1450.99
67.61,197,61.6,288.0,1448.67
67.63,197,58.1,291.2,1452.27
67.65,197,58.8,294.4,1451.07
67.68,197,59.3,297.6,1448.7
67.71,197,59.7,300.8,1451.13
67.75,197,59.5,304.0,1448.8
67.8,197,61.1,307.2,1450.96
67.86,197,59.7,310.4,1448.91
67.92,197,62.0,313.6,1449.9
67.99,197,59.1,316.8,1449.71
68.06,197,57.8,320.0,1452.33
68.14,197,59.7,323.2,1452.04
68.22,198,57.1,326.4,1449.3
68.31,198,58.1,329.6,1450.47
68.4,198,60.8,332.8,1448.26
68.5,198,60.2,336.0,1447.39
68.6,198,60.8,339.2,1450.18
68.71,198,60.2,342.4,1448.71
68.82,198,60.7,345.6,1452.0
68.93,199,61.7,348.8,1451.07
69.05,199,58.0,352.0,1453.64
69.17,199,60.0,355.2,1447.76
69.29,199,58.4,358.4,1450.28
